"pixel_id","x","y","Sample","Treatment","Timepoint","Old_Clusters"
"pixel_77055",16970.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77056",16900.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77057",16830.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77058",16760.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77059",16690.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77060",16620.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77061",16550.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77062",16480.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77063",16410.080078125,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77064",16340.0791015625,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77065",16270.0791015625,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77066",16200.0791015625,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77067",16130.0791015625,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77068",16060.0791015625,55995.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77673",16970.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77674",16900.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77675",16830.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77676",16760.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77677",16690.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77678",16620.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77679",16550.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77680",16480.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77681",16410.080078125,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77682",16340.0791015625,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77683",16270.0791015625,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77684",16200.0791015625,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77685",16130.0791015625,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_77686",16060.0791015625,55925.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78291",16970.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78292",16900.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78293",16830.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78294",16760.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78295",16690.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78296",16620.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78297",16550.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78298",16480.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
"pixel_78299",16410.080078125,55855.46875,"bleo_d21_1","bleo","d21","Cluster1"
